Firmware;Hits;Bandwidth
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_c50-v3-squashfs-tftp-recovery.bin;171;975.27 MB
/releases/19.07.4/targets/lantiq/xrx200/openwrt-19.07.4-lantiq-xrx200-avm_fritz7362sl-initramfs-kernel.bin;170;687.94 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-dlink_dir-825-b1-squashfs-sysupgrade.bin;170;564.56 MB
/releases/19.07.4/targets/lantiq/xrx200/openwrt-19.07.4-lantiq-xrx200-tplink_tdw8980-squashfs-sysupgrade.bin;169;744.93 MB
/snapshots/targets/mvebu/cortexa9/openwrt-mvebu-cortexa9-linksys_wrt3200acm-squashfs-sysupgrade.bin;167;901.14 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-gl-ar300m-squashfs-sysupgrade.bin;166;554.41 MB
/releases/19.07.2/targets/ar71xx/generic/openwrt-19.07.2-ar71xx-generic-dir-825-b1-squashfs-factory.bin;165;593.84 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-FAST2704N-squashfs-cfe.bin;162;521.28 MB
/releases/17.01.7/targets/ar71xx/generic/lede-17.01.7-ar71xx-generic-tl-mr3020-v1-squashfs-sysupgrade.bin;162;453.39 MB
/releases/17.01.4/targets/ar71xx/generic/lede-17.01.4-ar71xx-generic-dir-505-a1-squashfs-factory.bin;162;1.02 GB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-glinet_gl-b1300-squashfs-sysupgrade.bin;161;779.90 MB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-linksys_audi-squashfs-factory.bin;161;670.27 MB
/releases/19.07.4/targets/ipq806x/generic/openwrt-19.07.4-ipq806x-generic-tplink_c2600-squashfs-factory.bin;161;672.92 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-tplink_c20-v1-squashfs-factory.bin;160;882.30 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wa850re-v1-squashfs-factory.bin;160;477.82 MB
/releases/19.07.4/targets/ipq806x/generic/openwrt-19.07.4-ipq806x-generic-linksys_ea8500-squashfs-factory.bin;159;764.26 MB
