Image;Hits;206 Hits;Hits combined;Bandwidth;Avg. Size
/releases/18.06.2/targets/x86/generic/openwrt-18.06.2-x86-generic-generic-rootfs.tar.gz;29;0;29;74.06 MB;2.55 MB
/snapshots/targets/mediatek/mt7623/openwrt-mediatek-mt7623-unielec_u7623-emmc-squashfs-img.gz;29;0;29;113.23 MB;3.90 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-xunlong_orangepi-r1-ext4-sdcard.img.gz;29;32;61;148.39 MB;2.43 MB
/releases/19.07.4/targets/sunxi/cortexa53/openwrt-19.07.4-sunxi-cortexa53-sun50i-a64-pine64-plus-ext4-sdcard.img.gz;29;61;90;133.24 MB;1.48 MB
/releases/19.07.0/targets/x86/generic/openwrt-19.07.0-x86-generic-generic-rootfs.tar.gz;29;0;29;103.81 MB;3.58 MB
/releases/19.07.4/targets/brcm2708/bcm2708/openwrt-19.07.4-brcm2708-bcm2708-rpi-squashfs-factory.img.gz;29;105;134;182.66 MB;1.36 MB
/snapshots/targets/sunxi/cortexa53/openwrt-sunxi-cortexa53-pine64_pine64-plus-ext4-sdcard.img.gz;28;2;30;160.68 MB;5.36 MB
/snapshots/targets/oxnas/ox820/openwrt-oxnas-ox820-shuttle_kd20-factory.tar.gz;28;2;30;150.13 MB;5.00 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h3-bananapi-m2-plus-squashfs-sdcard.img.gz;28;1;29;102.70 MB;3.54 MB
/snapshots/targets/gemini/generic/openwrt-gemini-raidsonic_ib-4220-b-ext4-factory.bin.gz;28;2;30;166.72 MB;5.56 MB
/releases/19.07.4/targets/x86/legacy/openwrt-19.07.4-x86-legacy-rootfs-squashfs.img.gz;28;20;48;35.90 MB;765.84 KB
/releases/19.07.4/targets/sunxi/cortexa8/openwrt-19.07.4-sunxi-cortexa8-sun4i-a10-pcduino-squashfs-sdcard.img.gz;28;0;28;68.58 MB;2.45 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-cubietruck-squashfs-sdcard.img.gz;28;117;145;92.18 MB;651.01 KB
/snapshots/targets/x86/generic/openwrt-x86-generic-generic-squashfs-combined.img.gz;28;2;30;172.34 MB;5.74 MB
/releases/18.06.1/targets/ar71xx/generic/openwrt-18.06.1-ar71xx-generic-vmlinux.lzma;28;0;28;36.75 MB;1.31 MB
/snapshots/targets/bcm27xx/bcm2709/openwrt-bcm27xx-bcm2709-rpi-2-ext4-sysupgrade.img.gz;28;12;40;380.74 MB;9.52 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-olinuxino-micro-squashfs-sdcard.img.gz;28;132;160;79.17 MB;506.66 KB
/releases/19.07.4/targets/sunxi/cortexa53/openwrt-19.07.4-sunxi-cortexa53-sun50i-h5-orangepi-pc2-ext4-sdcard.img.gz;28;88;116;132.24 MB;1.14 MB
